temp,ts
76.55,1341453958830
76.55,1341453964612
76.55,1341453970395
76.55,1341453976178
76.66,1341453981962
76.66,1341453987745
76.55,1341453993528
76.55,1341453999307
76.55,1341454005091
76.55,1341454010874
76.55,1341454016657
76.66,1341454022441
76.55,1341454028224
76.55,1341454034007
76.66,1341454039787
76.55,1341454045570
76.55,1341454051353
76.55,1341454057136
76.55,1341454062920
76.55,1341454068703
76.55,1341454074482
76.55,1341454080266
76.55,1341454086049
76.55,1341454091832
76.44,1341454097616
76.55,1341454103399
76.44,1341454109182
76.44,1341454114961
76.44,1341454120745
76.44,1341454126528
76.44,1341454132311
76.32,1341454138095
76.32,1341454143878
76.32,1341454149661
76.32,1341454155440
76.32,1341454161224
76.21,1341454167007
76.32,1341454172791
76.21,1341454178574
76.21,1341454184357
76.21,1341454190140
76.21,1341454195920
76.10,1341454201703
76.21,1341454207486
76.10,1341454213270
76.10,1341454219053
75.99,1341454224836
75.99,1341454230620
76.10,1341454236399
75.99,1341454242182
75.99,1341454247965
75.99,1341454253749
75.99,1341454259532
75.99,1341454265315
75.99,1341454271099
75.99,1341454276878
75.99,1341454282661
75.87,1341454288445
75.99,1341454294228
75.99,1341454300011
75.99,1341454305795
75.99,1341454311578
75.99,1341454317357
75.99,1341454323140
76.10,1341454328924
76.10,1341454334707
76.10,1341454340490
76.10,1341454346274
76.10,1341454352057
76.10,1341454357836
76.21,1341454363620
76.32,1341454369403
76.32,1341454375186
76.32,1341454380969
76.44,1341454386753
76.44,1341454392536
76.44,1341454398315
76.44,1341454404099
76.44,1341454409882
76.44,1341454415665
76.55,1341454421448
76.44,1341454427232
76.55,1341454433015
76.44,1341454438794
76.55,1341454444578
76.55,1341454450361
76.44,1341454456144
76.44,1341454461928
76.44,1341454467711
76.44,1341454473494
76.55,1341454479273
76.44,1341454485057
76.44,1341454490840
76.44,1341454496623
76.44,1341454502407
76.44,1341454508190
76.44,1341454513973
76.32,1341454519752
76.32,1341454525536
76.32,1341454531319
76.32,1341454537103
76.32,1341454542886
76.32,1341454548669
76.32,1341454554453
76.21,1341454560232
76.21,1341454566015
76.21,1341454571798
76.21,1341454577582
76.21,1341454583365
76.21,1341454589148
76.21,1341454594932
76.21,1341454600711
76.10,1341454606494
76.10,1341454612277
76.10,1341454618061
76.10,1341454623844
76.10,1341454629627
76.10,1341454635411
76.10,1341454641190
76.10,1341454646973
76.10,1341454652757
76.10,1341454658540
76.10,1341454664323
76.10,1341454670106
75.99,1341454675890
75.99,1341454681669
75.99,1341454687452
75.99,1341454693236
75.99,1341454699019
75.99,1341454704802
76.10,1341454710586
76.10,1341454716369
76.10,1341454722148
76.10,1341454727931
76.10,1341454733715
76.10,1341454739498
76.21,1341454745281
76.21,1341454751065
76.32,1341454756848
76.32,1341454762627
76.32,1341454768411
76.32,1341454774194
76.32,1341454779977
76.44,1341454785761
76.44,1341454791544
76.44,1341454797327
76.44,1341454803106
76.44,1341454808890
76.44,1341454814673
76.44,1341454820456
76.44,1341454826240
76.44,1341454832023
76.44,1341454837806
76.44,1341454843585
76.44,1341454849369
76.44,1341454855152
76.44,1341454860935
76.32,1341454866719
76.44,1341454872502
76.44,1341454878285
76.32,1341454884065
76.32,1341454889848
76.32,1341454895631
76.32,1341454901415
76.32,1341454907198
76.32,1341454912981
76.32,1341454918765
76.21,1341454924544
76.21,1341454930327
76.21,1341454936110
76.21,1341454941894
76.21,1341454947677
76.21,1341454953460
76.21,1341454959244
76.10,1341454965023
76.10,1341454970806
76.10,1341454976589
76.10,1341454982373
76.10,1341454988156
76.10,1341454993939
76.10,1341454999723
76.10,1341455005502
76.10,1341455011285
76.10,1341455017069
76.10,1341455022852
76.10,1341455028635
75.99,1341455034419
75.99,1341455040202
75.99,1341455045981
75.99,1341455051764
75.99,1341455057548
75.99,1341455063331
75.99,1341455069120
76.10,1341455074898
75.99,1341455080681
75.99,1341455086460
75.99,1341455092243
75.99,1341455098027
75.99,1341455103810
75.99,1341455109593
76.10,1341455115377
76.10,1341455121160
76.10,1341455126939
76.10,1341455132723
76.21,1341455138506
76.21,1341455144289
76.32,1341455150072
76.32,1341455155856
76.32,1341455161639
76.32,1341455167418
76.32,1341455173202
76.21,1341455178985
76.32,1341455184768
76.32,1341455190552
76.32,1341455196335
76.32,1341455202118
76.32,1341455207897
76.32,1341455213681
76.32,1341455219464
76.32,1341455225247
76.32,1341455231031
76.32,1341455236814
76.32,1341455242597
76.32,1341455248377
76.32,1341455254160
76.32,1341455259943
76.32,1341455265726
76.32,1341455271510
76.32,1341455277293
76.32,1341455283076
76.32,1341455288860
76.32,1341455294639
76.21,1341455300422
76.21,1341455306205
76.21,1341455311989
76.10,1341455317772
76.10,1341455323555
76.10,1341455329339
76.10,1341455335118
76.10,1341455340901
76.10,1341455346685
76.10,1341455352468
75.99,1341455358251
75.99,1341455364035
75.99,1341455369818
75.99,1341455375597
75.99,1341455381380
75.99,1341455387164
75.99,1341455392947
75.99,1341455398730
75.99,1341455404514
75.99,1341455410297
75.99,1341455416076
75.99,1341455421860
75.99,1341455427643
76.10,1341455433426
75.99,1341455439210
75.99,1341455444993
75.99,1341455450776
75.99,1341455456555
76.10,1341455462339
75.99,1341455468122
76.10,1341455473905
76.10,1341455479689
76.10,1341455485472
76.10,1341455491255
76.21,1341455497034
76.21,1341455502818
76.21,1341455508601
76.32,1341455514385
76.32,1341455520168
76.44,1341455525951
76.44,1341455531734
76.44,1341455537514
76.44,1341455543297
76.44,1341455549080
76.44,1341455554864
76.44,1341455560647
76.44,1341455566430
76.44,1341455572214
76.44,1341455577993
76.44,1341455583776
76.44,1341455589559
76.44,1341455595343
76.44,1341455601126
76.32,1341455606909
76.44,1341455612693
76.32,1341455618472
76.32,1341455624255
76.32,1341455630038
76.32,1341455635822
76.44,1341455641605
76.32,1341455647388
76.21,1341455653172
76.32,1341455658951
76.21,1341455664734
76.21,1341455670518
76.21,1341455676301
76.21,1341455682084
76.10,1341455687868
76.10,1341455693651
76.10,1341455699434
76.10,1341455705213
76.10,1341455710997
76.10,1341455716780
75.99,1341455722563
75.99,1341455728347
76.10,1341455734130
75.99,1341455739913
76.10,1341455745692
75.99,1341455751476
76.10,1341455757259
76.10,1341455763042
